num_players,player_stack,blind,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result
6,46.48,1,Jh 6h,"received, received, folds",,,,,,,-0.5
6,52.53,0,Jc 6c,"received, received, folds",,,,,,,0.0
6,47.48,2,3s 9c,"received, received, folds",,,,,,,-1.0
5,54.86,1,Ah Kc,"received, received, raises",As Kd Jd,bets,Jh,checks,Qh,checks,12.82
6,21.5,0,3h 5s,"received, received, folds",,,,,,,0.0
6,47.48,0,3h 2d,"received, received, folds",,,,,,,0.0
7,40.0,1,Kc Js,"received, received, calls",5d Jd 10c,"bets, allin",Ah,,4s,,-40.0
6,49.35,0,9h Qs,"received, received, raises",Kh Qc 9s,"bets, mucks",,,,,3.18
6,93.13,0,3h Qc,"received, received, folds",9s 3d 8d,,,,,,0.0
5,48.9,2,Ah 9c,"received, received, calls",5d 9d Ks,checks,Jh,checks,Kd,bets,5.96
6,93.13,0,2c Qh,"received, received, folds",,,,,,,0.0
7,40.0,2,Qc 7s,"received, received, folds",,,,,,,-2.0
6,20.75,0,9h 7h,"received, received, raises, mucks",,,,,,,0.75
6,49.85,1,2d Ks,"received, received, folds",,,,,,,-0.5
5,48.9,0,Jh 4h,"received, received, folds",,,,,,,0.0
6,47.48,0,Ks 3s,"received, received, folds",4s Js 9d,,Qs,,8h,,0.0
7,40.0,0,5s 7h,"received, received, folds",,,,,,,0.0
8,42.5,0,8d 5h,"received, received, folds",3h 7h Jh,,5c,,9c,,0.0
6,50.85,2,3h 5s,"received, received, folds",,,,,,,-1.0
6,20.75,0,8h Jd,"received, received, folds",,,,,,,0.0
6,84.35,1,7c 5c,"received, received, raises",Jd 3h 7d,"checks, calls",5d,"bets, mucks",,,8.78
6,47.48,0,6s 5h,"received, received, folds",,,,,,,0.0
7,40.0,0,2d Jh,"received, received, folds",,,,,,,0.0
8,41.0,0,Qc Ac,"received, received, raises, mucks",,,,,,,1.5
5,48.9,0,As 4c,"received, received, folds",9h 7d 8h,,,,,,0.0
6,50.85,0,8h 5d,"received, received, folds",,,,,,,0.0
8,41.0,0,4d 3h,"received, received, folds",,,,,,,0.0
6,86.35,2,5c 3d,"received, received, folds",,,,,,,-2.0
6,21.0,1,10c 8h,"received, received, folds",,,,,,,-0.25
6,43.4,0,Jh Jc,"received, received, raises, mucks",,,,,,,4.08
8,41.0,0,10h 6s,"received, received, folds",,,,,,,0.0
6,43.9,1,5d Kh,"received, received, folds",,,,,,,-0.5
6,49.35,0,Jc Kc,"received, received, raises, mucks",,,,,,,1.5
5,48.9,0,Qd 6h,"received, received, folds",7s 5s Qs,,5c,,,,0.0
8,41.0,0,Js 3h,"received, received, folds",,,,,,,0.0
6,44.9,2,6s 2c,"received, received, folds",,,,,,,-1.0
8,40.0,0,2s Jh,"received, received, folds",Kd Qh 10d,,8s,,,,0.0
6,21.5,2,3h 7d,"received, received, folds",5d 5s 10c,,Js,,8h,,-0.5
8,40.0,0,Qh 2h,"received, received, folds",,,,,,,0.0
6,49.35,0,2s 10s,"received, received, folds",10h 7h 6s,,,,,,0.0
6,44.9,0,5c 9c,"received, received, folds",,,,,,,0.0
6,86.35,0,4d Qd,"received, received, folds",5h 7c 10s,,3c,,2s,,0.0
5,45.7,1,Ah As,"received, received, calls",9h Kh 5c,checks,3h,"bets, mucks",,,3.2
6,47.85,0,8s Js,"received, received, raises, mucks",,,,,,,1.5
8,41.0,0,Js 9s,"received, received, folds",,,,,,,0.0
6,86.35,0,Qc Jh,"received, received, folds",,,,,,,0.0
6,48.35,1,Qd 6h,"received, received, folds",,,,,,,-0.5
